Name,Cases_cumulative tota,Cases _newly reported in last 7 days,Cases _newly reported in last 24 hours,Deaths _cumulative total
South Africa,1369426,91123,12710,38854
Ethiopia,132034,2589,307,2044
Nigeria,114691,10692,1386,1478
Algeria,104606,1965,265,2854
Kenya,99444,889,136,1736
Ghana,58822,1841,391,358
Zambia,40949,9849,1434,585
Uganda,38628,543,94,305
Namibia,31253,2070,258,301
Zimbabwe,29408,5152,733,879
Mozambique,29396,5670,1126,271
Cameroon,28010,674,0,455
C“te d?Ivoire,25597,1411,214,142
Senegal,23642,1759,250,546
Democratic Republic of the Congo,21301,1806,162,640
Angola,19093,668,82,444
Botswana,18630,2579,0,88
Madagascar,18301,300,0,273
Mauritania,16039,428,0,402
Malawi,14851,4860,971,354
Guinea,14207,182,35,81
Eswatini,13789,1665,346,427
Cabo Verde,13224,632,85,121
Rwanda,11860,1738,312,153
Gabon,10120,301,101,66
R‚union,9584,178,32,45
Burkina Faso,9553,1007,201,106
Mali,7897,159,17,318
Congo,7794,634,85,117
Lesotho,7035,794,17,101
Mayotte,6981,726,63,58
Equatorial Guinea,5365,49,0,86
Central African Republic,4974,1,0,63
Togo,4459,350,76,74
Niger,4249,251,24,147
Gambia,3950,60,12,128
South Sudan,3762,92,0,63
Benin,3582,169,0,48
Sierra Leone,3051,164,21,77
Chad,3012,303,35,114
Guinea-Bissau,2510,63,0,45
Comoros,1933,592,69,54
Eritrea,1910,314,33,6
Liberia,1901,24,3,84
Burundi,1358,255,36,2
Sao Tome and Principe,1170,65,19,17
Seychelles,844,234,82,3
Mauritius,556,10,0,10
United Republic of Tanzania,509,0,0,21
Saint Helena,0,0,0,0
